year,statefips,countyfips,ds_pm_pred
2013,28,28107,9.325580593607306
2013,49,49039,5.923054542465753
2013,6,6019,14.481675364493701
2013,21,21091,10.690789680365297
2014,20,20161,8.707061260273973
2013,48,48457,8.931056602739726
2011,33,33013,8.140633316894977
2011,41,41019,7.029238866002491
2011,42,42123,8.485305735089568
2012,5,5115,9.692844560357675
2012,29,29093,8.998468169398907
2014,48,48413,7.347221095890411
2013,54,54005,8.573296095890411
2012,38,38101,7.368997393862968
2014,54,54073,10.212111643835616
2014,41,41071,7.562526946011281
2011,51,51840,9.602125508493151
2012,17,17119,11.11243147451402
2014,53,53039,5.905165178082192
2012,47,47189,10.047303304709862
2013,55,55123,8.747812954990215
2011,48,48459,9.684441727592955
2011,28,28145,9.599120367123288
2011,26,26035,7.831505052054794
2011,8,8099,6.443748252054794
2013,47,47185,8.874532739726027
2012,13,13087,9.405262607338017
2012,17,17051,10.056790593286495
2012,21,21125,9.53969104665826
2013,19,19115,10.022892785388128
2012,37,37021,8.661545140515222
2011,28,28109,8.934527585388128
2013,55,55087,8.536430141780822
2012,8,8091,4.390884972677596
2011,28,28061,9.758062728767123
2012,46,46097,8.428510655737705
2013,37,37085,8.580429457128361
2011,55,55079,10.64147608983903
2012,1,1073,11.791339283918334
2012,38,38019,7.671394672131148
2011,26,26109,8.199291532289628
2014,38,38069,5.179281630136986
2012,51,51105,9.197926948998178
2011,48,48197,7.772641926027397
2014,37,37133,8.793148545293858
2014,17,17151,10.882631506849315
2013,48,48251,9.599978894324853
2014,30,30083,5.832800616438356
2011,39,39115,11.007295288356164
2014,37,37179,10.382986548613431
2011,37,37151,9.840941598727984
2011,42,42007,11.734608630298147
2013,38,38057,6.331851141552511
2014,42,42045,11.287663656773212
2012,19,19169,9.572696448087432
2013,21,21155,9.690181735159817
2012,29,29097,9.581452955787382
2011,31,31051,8.407557608219178
2014,51,51047,8.456700239726027
2011,53,53069,5.839932260273973
2012,47,47149,9.873483673469388
2014,28,28119,9.874048219178082
2013,18,18055,10.64324700152207
2014,47,47035,8.890893992172211
2011,20,20093,7.28629985479452
2013,18,18135,10.868909452054794
2011,40,40027,10.00651025939019
2012,13,13249,10.114750956284153
2011,26,26093,9.508767875320009
2014,47,47125,10.283714063926941
2013,20,20063,6.639246438356164
2012,33,33009,6.8743533851021
2013,26,26143,7.209565205479452
2013,35,35007,4.364929433789954
2012,16,16055,7.064176516939891
2011,6,6081,8.896679912398127
2014,42,42071,12.3017771037182
2011,29,29119,10.25916494520548
2013,51,51077,7.659427271232877
2013,25,25027,7.980368963841988
2011,48,48467,9.424751175342466
2014,48,48147,9.616605662100457
2011,46,46069,6.913803605479452
2012,1,1067,9.317051183970856
2014,22,22011,8.972893307240704
2012,51,51153,9.166206728553558
2012,47,47095,9.853770218579235
2014,48,48453,10.058032360186
2014,31,31185,8.173977328767123
2014,26,26163,10.976228770267236
2012,23,23013,6.895767103825137
2014,29,29113,10.422444735812133
2012,13,13211,10.222273551912568
2011,26,26097,6.913281096986301
2011,40,40067,8.761118135159817
2013,13,13021,10.025239927770859
2012,51,51660,8.942277133631396
2013,23,23031,7.540752102739726
2011,30,30029,6.719640744051911
2011,6,6057,6.798913043150685
2012,48,48165,7.449935974499089
2013,19,19067,9.145631123287671
2013,21,21179,10.129362557077626
2012,6,6021,6.449778597449909
2012,6,6001,8.244111912188828
2014,48,48187,9.919695843174303
2013,18,18151,9.946138356164384
2013,6,6101,9.177373659491194
2014,8,8035,6.512545859420615
2013,50,50021,7.037955516438356
2013,49,49035,11.304116058800724
2014,28,28021,8.995941187214612
2013,48,48205,5.859341369863014
2013,21,21199,9.208797671232877
2013,40,40081,8.914877338551859
2011,35,35037,6.319109992694064
2014,51,51045,8.395081095890411
2014,21,21037,11.689148865753425
2014,48,48307,7.699873607305936
